Filename,Dimensions,Voxel Size (mm),Orientation,Compatible
IXI027-Guys-0710-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI028-Guys-1038-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI029-Guys-0829-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI030-Guys-0708-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI031-Guys-0797-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI033-HH-1259-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI034-HH-1260-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI035-IOP-0873-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI036-Guys-0736-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI037-Guys-0704-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI038-Guys-0729-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI039-HH-1261-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI040-Guys-0724-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI041-Guys-0706-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI042-Guys-0725-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI043-Guys-0714-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI044-Guys-0712-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI045-Guys-0713-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI046-Guys-0824-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI048-HH-1326-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI049-HH-1358-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI050-Guys-0711-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI051-HH-1328-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI052-HH-1343-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI053-Guys-0727-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI054-Guys-0707-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI055-Guys-0730-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI056-HH-1327-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI057-HH-1342-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI058-Guys-0726-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI059-HH-1284-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI060-Guys-0709-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI061-Guys-0715-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI062-Guys-0740-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI063-Guys-0742-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI064-Guys-0743-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI065-Guys-0744-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI066-Guys-0731-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI067-HH-1356-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI068-Guys-0756-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI069-Guys-0769-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI070-Guys-0767-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI071-Guys-0770-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI072-HH-2324-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI073-Guys-0755-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI074-Guys-0771-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI075-Guys-0754-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI076-Guys-0753-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI077-Guys-0752-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI078-Guys-0751-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI079-HH-1388-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI080-HH-1341-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI081-Guys-0855-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI083-HH-1357-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI084-Guys-0741-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI085-Guys-0759-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI086-Guys-0728-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI087-Guys-0768-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI088-Guys-0758-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI089-Guys-0757-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI090-Guys-0800-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI091-Guys-0762-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI092-HH-1436-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI093-HH-1359-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI094-HH-1355-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI095-HH-1390-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI096-HH-1391-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI097-HH-1619-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI098-Guys-0745-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI099-Guys-0748-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI100-Guys-0747-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI101-Guys-0749-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI102-HH-1416-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI103-Guys-0750-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI104-HH-1450-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI105-HH-1471-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI106-Guys-0760-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI107-Guys-0761-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI108-Guys-0865-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI109-Guys-0732-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI110-Guys-0733-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI111-Guys-0734-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI112-Guys-0735-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI113-Guys-0776-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI114-Guys-0737-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI115-Guys-0738-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI116-Guys-0739-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI117-Guys-0763-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI118-Guys-0764-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI119-Guys-0765-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI120-Guys-0766-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI121-Guys-0772-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI122-Guys-0773-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI123-Guys-0774-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI126-HH-1437-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI127-HH-1451-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI128-HH-1470-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI129-Guys-0775-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI130-HH-1528-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI131-HH-1527-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI132-HH-1415-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI134-Guys-0780-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI135-Guys-0779-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI136-HH-1452-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI137-HH-1472-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI138-Guys-0746-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI139-Guys-0815-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI140-Guys-0787-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI141-Guys-0789-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI142-Guys-0786-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI143-Guys-0785-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI144-Guys-0788-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI145-Guys-0781-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI146-HH-1389-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI148-HH-1453-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI150-HH-1550-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI151-Guys-0793-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI153-Guys-0782-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI154-Guys-0821-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI156-Guys-0837-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI157-Guys-0816-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI158-Guys-0783-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI159-HH-1549-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI160-HH-1637-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI161-HH-2533-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI162-HH-1548-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI163-HH-1621-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI164-Guys-0844-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI165-HH-1589-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI166-Guys-0846-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI167-HH-1569-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI168-HH-1607-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI169-Guys-0842-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI170-Guys-0843-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI172-Guys-0982-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI173-HH-1590-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI174-HH-1571-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI175-HH-1570-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI176-HH-1604-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI177-Guys-0831-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI178-Guys-0778-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI179-Guys-0777-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI180-HH-1605-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI181-Guys-0790-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI182-Guys-0792-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI183-Guys-0791-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI184-Guys-0794-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI185-Guys-0795-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI186-Guys-0796-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI188-Guys-0798-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI189-Guys-0799-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI191-Guys-0801-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI192-Guys-0878-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI193-Guys-0810-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI194-Guys-0818-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI195-HH-1620-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI196-Guys-0805-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI197-Guys-0811-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI198-Guys-0803-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI199-Guys-0802-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI200-Guys-0812-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI201-HH-1588-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI202-HH-1526-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI204-HH-1651-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI205-HH-1649-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI206-HH-1650-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI207-Guys-0809-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI208-Guys-0808-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI209-Guys-0804-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI210-Guys-0856-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI211-HH-1568-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI212-HH-1643-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI213-HH-1642-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI214-HH-1636-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI216-HH-1635-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI217-HH-1638-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI218-HH-1815-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI219-Guys-0894-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI221-HH-1606-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI222-Guys-0819-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI223-Guys-0830-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI224-Guys-0823-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI225-Guys-0832-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI226-HH-1618-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI227-Guys-0813-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI228-Guys-0822-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI229-Guys-0980-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI230-IOP-0869-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI231-IOP-0866-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI232-IOP-0898-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI233-IOP-0875-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI234-IOP-0870-T1.nii.gz,"(256, 256, 146)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI236-Guys-0817-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
IXI237-Guys-1049-T1.nii.gz,"(256, 256, 150)","[0.94, 0.94, 1.2]","('P', 'S', 'R')",✅ SIM
